0.001	 0.0643
0.128	 0.1912
0.255	 0.3182
0.382	 0.4452
0.509	 0.5720
0.635	 0.6985
0.762	 0.8248
0.888	 0.9506
1.013	 1.0761
1.139	 1.2013
1.264	 1.3262
1.389	 1.4511
1.513	 1.5759
1.638	 1.7007
1.763	 1.8256
1.888	 1.9505
2.013	 2.0755
2.138	 2.2006
2.263	 2.3257
2.388	 2.4509
2.513	 2.5761
2.639	 2.7013
2.764	 2.8265
2.889	 2.9518
3.014	 3.0771
3.140	 3.2023
3.265	 3.3276
3.390	 3.4529
3.516	 3.5782
3.641	 3.7035
3.766	 3.8288
3.891	 3.9542
4.017	 4.0796
4.142	 4.2050
4.268	 4.3305
4.393	 4.4560
4.519	 4.5817
4.644	 4.7073
4.770	 4.8331
4.896	 4.9588
5.022	 5.0847
5.148	 5.2106
5.274	 5.3366
5.400	 5.4626
5.526	 5.5887
5.652	 5.7148
5.778	 5.8411
5.904	 5.9675
6.031	 6.0940
6.157	 6.2204
5.501	 5.5040
5.509	 5.5159
5.525	 5.5355
5.548	 5.5632
5.580	 5.5985
5.619	 5.6403
5.663	 5.6867
5.711	 5.7351
5.759	 5.7832
5.807	 5.8290
5.851	 5.8711
5.891	 5.9087
5.926	 5.9414
5.956	 5.9692
5.981	 5.9924
6.002	 6.0111
6.019	 6.0258
6.032	 6.0367
6.041	 6.0442
6.047	 6.0484
6.049	 6.0497
6.049	 6.0482
6.046	 6.0440
6.041	 6.0372
6.033	 6.0279
6.022	 6.0161
6.009	 6.0020
5.994	 5.9855
5.976	 5.9667
5.957	 5.9458
5.935	 5.9229
5.911	 5.8982
5.885	 5.8719
5.858	 5.8442
5.830	 5.8155
5.801	 5.7862
5.771	 5.7565
5.742	 5.7268
5.712	 5.6976
5.683	 5.6691
5.655	 5.6418
5.629	 5.6158
5.603	 5.5915
5.580	 5.5692
5.559	 5.5491
5.540	 5.5317
5.524	 5.5174
5.512	 5.5067
5.503	 5.5003
5.499	 5.4991
